PROGR;CODICE;DESCRIZIONE;;;TARIFFA
1;03.8;INIEZIONE DI FARMACI CITOTOSSICI NEL CANALE VERTEBRALE;T90;51,65;51,65
2;03.91;INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA;T90;103,29;103,29
3;03.92;INIEZIONE DI ALTRI FARMACI NEL CANALE VERTEBRALE;T90;103,29;103,29
4;04.07.1;RESEZIONE O ASPORTAZIONE DEI NERVI PERIFERICI;T50;51,13;61,32
5;04.11.1;BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEI NERVI PERIFERICI ;D30;51,13;71,54
6;04.81.1;INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA;T90;51,65;51,65
7;04.81.2;INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA;T90;15,49;15,49
8;05.31;INIEZIONE DI ANESTETICO NEI NERVI SIMPATICI PER ANALGESIA;T90;77,47;77,47
9;05.32 ;INIEZIONE DI AGENTI NEUROLITICI NEI NERVI SIMPATICI;T90;129,11;129,11
10;06.01;ASPIRAZIONE NELLA REGIONE TIROIDEA;T50;61,46;73,80
11;06.11.1;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE;D30;43,38;60,76
12;06.11.2;BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE;D30;61,46;86,10
13;06.13;BIOPSIA DELLE PARATIROIDI;D30;67,14;93,94
14;08.01;INCISIONE DEL MARGINE PALPEBRALE;T50;13,63;16,32
15;08.02;APERTURA DI BLEFARORRAFIA;T50;13,63;16,32
16;08.09;ALTRA INCISIONE DELLA PALBEBRA;T50;13,63;16,32
17;08.11;BIOPSIA DELLA PALPEBRA;D30;13,63;19,04
18;08.21;ASPORTAZIONE DI CALAZIO;T50;27,27;32,76
19;08.22;ASPORTAZIONE DI ALTRA LESIONE MINORE DELLA PALPEBRA;T50;27,27;32,76
20;08.23;ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, NON A TUTTO SPESSORE;T50;27,27;32,76
21;08.24;ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, A TUTTO SPESSORE;T50;45,45;54,60
22;08.25;DEMOLIZIONE DI LESIONE DELLA PALPEBRA;T50;34,09;40,92
23;08.41;RIPARAZIONE DI ENTROPION O ECTROPION CON TERMOCOAGULAZIONE;T50;40,90;49,08
24;08.42;RIPARAZIONE DI ENTROPION O ECTROPION CON TECNICA DI SUTURA;T50;40,90;49,08
25;08.43;RIPARAZIONE DI ENTROPION O ECTROPION CON RESEZIONE CUNEIFORME;T50;68,17;81,84
26;08.44;RIPARAZIONE DI ENTROPION O ECTROPION CON RICOSTRUZIONE DELLA PALPEBRA;T50;154,94;185,88
27;08.52;BLEFARORRAFIA;T50;40,90;49,08
28;08.6;RICOSTRUZIONE DELLA PALPEBRA CON LEMBO O INNESTO;T50;309,87;371,88
29;08.81;RIPARAZIONE LINEARE DI LACERAZIONE DELLA PALPEBRA E DELLE SOPRACCIGLIA;T50;34,09;40,92
30;08.82;RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE, ;T50;34,09;40,92
31;08.83;ALTRA RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA, NON A TUTTO SPESSORE;T50;34,09;40,92
32;08.84;RIPARAZIONE DI LACERAZIONE DELLA PALPEBRA INTERESSANTE IL MARGINE PALPEBRALE,;T50;68,17;81,84
33;08.91;DEPILAZIONE ELETTROCHIRURGICA DELLA PALPEBRA;T50;22,72;27,24
34;08.92;DEPILAZIONE CRIOCHIRURGICA DELLA PALPEBRA;T50;22,72;27,24
35;08.99.1;INFILTRAZIONE DI ANGIOMA PALPEBRALE;T50;13,63;16,32
36;09.0;INCISIONE DELLA GHIANDOLA LACRIMALE;T50;34,09;40,92
37;09.11;BIOPSIA DELLA GHIANDOLA LACRIMALE;D30;56,81;79,52
38;09.12;BIOPSIA DEL SACCO LACRIMALE;D30;40,90;57,26
39;09.19;ALTRE PROCEDURE DIAGNOSTICHE SULL'APPARATO LACRIMALE;D90;40,90;40,90
40;09.21;ASPORTAZIONE DI LESIONE DELLA GHIANDOLA LACRIMALE;T50;56,81;68,16
41;09.41;SPECILLAZIONE DEL PUNTO LACRIMALE;T50;13,63;16,32
42;09.42;SPECILLAZIONE DEI CANALICOLI LACRIMALI;T50;15,91;19,08
43;09.43;SPECILLAZIONE DEL DOTTO NASO-LACRIMALE;T50;56,81;68,16
44;09.51;INCISIONE DEL PUNTO LACRIMALE;T50;34,09;40,92
45;09.52;INCISIONE DEI CANALICOLI LACRIMALI;T50;34,09;40,92
46;09.53;INCISIONE DEL SACCO LACRIMALE;T50;34,09;40,92
47;09.59;ALTRA INCISIONE DELLE VIE LACRIMALI;T50;34,09;40,92
48;09.6;ASPORTAZIONE DEL SACCO E DELLE VIE LACRIMALI;T50;258,23;309,84
49;09.71;CORREZIONE DI EVERSIONE DEL PUNTO LACRIMALE;T50;56,81;68,16
50;09.73;RIPARAZIONE DEI CANALICOLI;T50;206,58;247,92
51;10.21;BIOPSIA DELLA CONGIUNTIVA;D30;15,91;22,26
52;10.31;ASPORTAZIONE DI LESIONE O TESSUTO DELLA CONGIUNTIVA;T50;27,27;32,76
53;10.32;DEMOLIZIONE DI  LESIONE DELLA CONGIUNTIVA;T50;27,27;32,76
54;10.33;ALTRI INTERVENTI DI DEMOLIZIONE DELLA CONGIUNTIVA;T50;27,27;32,76
55;10.4;CONGIUNTIVOPLASTICA;T50;90,90;109,08
56;10.6;RIPARAZIONE DI LACERAZIONE DELLA CONGIUNTIVA;T50;45,45;54,60
57;10.91;INIEZIONE SOTTOCONGIUNTIVALE;T90;11,36;11,36
58;11.31;TRASPOSIZIONE DELLO PTERIGIUM;T50;56,81;68,16
59;11.32;ASPORTAZIONE DELLO PTERIGIUM CON INNESTO DELLA CORNEA;T50;90,90;109,08
60;11.39;ALTRA ASPORTAZIONE DELLO PTERIGIUM;T50;56,81;68,16
61;11.42;TERMOCAUTERIZZAZIONE DI LESIONI DELLA CORNEA;T50;22,72;27,24
62;11.43;CRIOTERAPIA DI LESIONE DELLA CORNEA;T50;28,41;34,08
63;11.75.1;CHERATOTOMIA ARCIFORME;T50;289,22;347,04
64;11.91;TATUAGGIO DELLA CORNEA;T50;34,09;40,92
65;11.99.1;APPLICAZIONE TERAPEUTICA DI LENTE A CONTATTO;T50;15,91;19,08
66;11.99.2;CORREZIONE DEI VIZI DI REFRAZIONE;T50;79,53;95,40
67;11.99.3;CORREZIONE DI ALTERAZIONI CORNEALI ;T50;79,53;95,40
68;12.14;IRIDECTOMIA;T50;90,90;109,08
69;12.40;RIMOZIONE DI LESIONE DEL SEGMENTO ANTERIORE DELL'OCCHIO, NAS;T50;113,62;136,32
70;12.41;DEMOLIZIONE DI LESIONE DELL' IRIDE, NON ESCISSIONALE;T50;90,90;109,08
71;12.72;CICLOCRIOTERAPIA;T50;90,90;109,08
72;12.73;CICLOFOTOCOAGULAZIONE;T50;90,90;109,08
73;12.91;SVUOTAMENTO TERAPEUTICO DELLA CAMERA ANTERIORE;T50;27,27;32,76
74;13.64;CAPSULOTOMIA YAG-LASER PER CATARATTA SECONDARIA;T50;79,53;95,40
75;14.22;DEMOLIZIONE DI LESIONE CORIORETINICA MEDIANTE CRIOTERAPIA;T50;56,81;68,16
76;14.31;RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE DIATERMIA;T50;56,81;68,16
77;14.32;RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE CRIOTERAPIA;T50;56,81;68,16
78;14.33;RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE ;T50;56,81;68,16
79;14.34;RIPARAZIONE DI LACERAZIONE DELLA RETINA MEDIANTE FOTOCOAGULAZIONE ;T50;56,81;68,16
80;14.59.1;PNEUMORETINOPESSIA;T50;27,27;32,76
81;16.22;AGOBIOPSIA ORBITARIA;D30;45,45;63,70
82;16.91;INIEZIONE RETROBULBARE DI SOSTANZE TERAPEUTICHE;T90;36,15;36,15
83;18.02;INCISIONE DEL CANALE UDITIVO ESTERNO E DEL PADIGLIONE AURICOLARE;T50;11,36;13,68
84;18.12;BIOPSIA DELL'ORECCHIO ESTERNO;D30;12,81;17,92
85;18.29;ASPORTAZIONE O DEMOLIZIONE DI ALTRA LESIONE DELL'ORECCHIO ESTERNO;T50;14,20;17,04
86;20.0;MIRINGOTOMIA;T50;19,88;23,88
87;20.31;ELETTROCOCLEOGRAFIA;D23;54,23;54,23
88;20.32.1;BIOPSIA DELL'ORECCHIO MEDIO;D30;21,69;30,38
89;20.39.1;OTOEMISSIONI ACUSTICHE;D29;9,04;9,04
90;20.8;INTERVENTI SULLA TUBA DI EUSTACHIO;T50;12,65;15,24
91;21.01;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE ANTERIORE;T50;12,65;15,24
92;21.02;CONTROLLO DI EPISTASSI MEDIANTE TAMPONAMENTO NASALE POSTERIORE (E ANTERIORE);T50;23,24;27,84
93;21.03;CONTROLLO DI EPISTASSI MEDIANTE CAUTERIZZAZIONE (E TAMPONAMENTO);T50;16,27;19,56
94;21.22;BIOPSIA DEL NASO;D30;21,69;30,38
95;21.31;ASPORTAZIONE O DEMOLIZIONE LOCALE DI LESIONE INTRANASALE;T50;21,69;26,04
96;21.71;RIDUZIONE CHIUSA DI FRATTURA NASALE NON A CIELO APERTO;T50;21,69;26,04
97;21.91;LISI DI ADERENZE DEL NASO;T50;21,69;26,04
98;22.01;PUNTURA DEI SENI NASALI PER ASPIRAZIONE O LAVAGGIO;T50;21,69;26,04
99;22.71;CHIUSURA DI FISTOLA OROANTRALE;T50;28,92;34,68
100;23.01;ESTRAZIONE DI DENTE DECIDUO;T30;11,62;11,62
101;23.09;ESTRAZIONE DI DENTE PERMANENTE;T30;16,27;16,27
