"Codice Regione";"Anno";"Codice Azienda";"Codice struttura";"Denominazione struttura";"Codice Comune";"Indirizzo";"CAP";"Prefisso";"Telefono";"Tipo struttura";"Tipo rapporto con il S.S.N.";"Codice struttura di ricovero";"Titolare della convenzione";"Anno apertura";"Mese apertura";"Anno chiusura";"Mese chiusura";"Mesi di funzionamento";"Descrizione tipo assistenza erogata";"Flag Stato STS11";"Flag Stato STS11";"Apparecchiature tecnico biomediche"
"100";"2013";"201";"049941";"C.T.R.1 LA TORRE";"054001";"VIA DELLA TORRE, 5 - TORCHIAGINA";"06080";"075";"8039372";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"2006";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049939";"COM.TER.ASS.ALVEARE/GRUPPO APPARTAMENTO PALAZZO";"054001";"VIA CANINI, 104 - TORCHIAGINA DI ASSISI";"06081";"075";"8039372";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"2013";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049937";"C.T.A.ALV./CTR1 TORRECHIASCINA";"054001";"VIA DELLA TORRE, 5 - TORCHIAGINA DI ASSISI";"06086";"075";"8039372";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1998";"11";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049931";"C.A.S.T. ONLUS";"054001";"VIA RAFFAELLO int.7";"06081";"075";"8043043";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1997";"01";"    ";"  ";"12";"ASSISTENZA PER TOSSICODIPENDENTI                  ";"0";"0";" "
"100";"2013";"201";"049931";"C.A.S.T. ONLUS";"054001";"VIA RAFFAELLO int.7";"06081";"075";"8043043";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1997";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049929";"CASA DI RISPOSO 'A.ROSSI'";"054001";"VIA METASTASIO, 5";"06081";"075";"812353";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"4";"1997";"01";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"049906";"LAB 2000 snc";"054001";"VIA DELLA REPUBBLICA, 8/A - S.M. ANGELI";"06081";"075";"8098002";"AMBULATORIO E LABORATORIO                         ";"2";"      ";"2";"2009";"06";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"042010";"Centro Socio-Riabilitativo Educativo Castelnuovo";"054001";"Via dell'Ose Castelnuovo di Assisi";"06081";"075";"8043646";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2013";"03";"    ";"  ";"12";"ASSISTENZA AI DISABILI PSICHICI                   ";"0";"0";" "
"100";"2013";"201";"042010";"Centro Socio-Riabilitativo Educativo Castelnuovo";"054001";"Via dell'Ose Castelnuovo di Assisi";"06081";"075";"8043646";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2013";"03";"    ";"  ";"12";"ASSISTENZA AI DISABILI FISICI                     ";"0";"0";" "
"100";"2013";"201";"041601";"P.E. PETRIGNANO";"054001";"via Croce, 1";"06086";"075";"8039010";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2009";"08";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";" "
"100";"2013";"201";"040203";"CONSULTORIO S.MARIA ANGELI";"054001";"VIA S. BERNARDINO DA SIENA";"06088";"075";"8139513";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"201";"040202";"SER.T ASSISANO";"054001";"VIA S. BERNARDINO DA SIENA - S.M.Angeli";"06088";"075";"8139519";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA PER TOSSICODIPENDENTI                  ";"0";"0";" "
"100";"2013";"201";"040201";"P.E. S.M. ANGELI";"054001";"V.S.BERNARDINO DA SIENA, 15";"06088";"075";"8139500";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"09";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";" "
"100";"2013";"201";"040101";"STAB.OSP. ASSISI";"054001";"VIA V. MULLER, 1";"06081";"075";"81391";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"040101";"STAB.OSP. ASSISI";"054001";"VIA V. MULLER, 1";"06081";"075";"81391";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"DIAGNOSTICA STRUMENTALE E PER IMMAGINI            ";"0";"0";"X"
"100";"2013";"201";"040101";"STAB.OSP. ASSISI";"054001";"VIA V. MULLER, 1";"06081";"075";"81391";"AMBULATORIO E LABORATORIO                         ";"1";"100803";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"201";"049942";"COOP SOC. ARL LA GOCCIA U.D.C. PSICHIATRICA";"054002";"VIA CURIEL 1";"06083";"075";"8003613";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"2012";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049940";"COOP.SOC.A.R.L.LA GOCCIA ONLUS";"054002";"VIA CEPPAIOLO,24";"06083";"075";"8003465";"STRUTTURA RESIDENZIALE                            ";"2";"      ";"2";"2003";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"049905";"LAB.ANALISI  'A.FLEMING ' SNC";"054002";"VIA S.MICHELE ARCANGELO 8/N";"06083";"075";"8002575";"AMBULATORIO E LABORATORIO                         ";"2";"      ";"2";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";"X"
"100";"2013";"201";"041501";"CENTRO DI GIORNO BASTIA UMBRA";"054002";"VIA DE GASPERI, 19";"06083";"075";"8139720";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"1998";"10";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"041210";"CONSULTORIO BASTIA";"054002";"PIAZZA DEL TABACCHIFICIO 8";"06083";"075";"8139703";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2012";"07";"    ";"  ";"6";"ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE        ";"0";"0";" "
"100";"2013";"201";"041101";"G.A.BASTIA UMBRA";"054002";"VIA SANTOVECCHIO";"06083";"075";"8139719";"STRUTTURA RESIDENZIALE                            ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"040901";"C.D.RIABILITAZIONE PSICOSOCIAL";"054002";"VIA PETRARCA";"06083";"075";"8139741";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"040810";"SREE BASTIA";"054002";"VIA DELLA TABACCHINE 3";"06083";"075";"8020360";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"2012";"06";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"040601";"CSM BASTIA";"054002";"VIA DE GASPERI 16";"06083";"075";"8139720";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ASSISTENZA PSICHIATRICA                           ";"0";"0";" "
"100";"2013";"201";"040310";"PALAZZO DELLA SALUTE BASTIA";"054002";"via delle tabacchine, 3";"06038";"075";"8139702";"AMBULATORIO E LABORATORIO                         ";"1";"      ";" ";"2012";"06";"    ";"  ";"12";"ATTIVITA` CLINICA                                 ";"0";"0";"X"
"100";"2013";"201";"042001";"C.D.ALZHEIMER BETTONA";"054003";"VIA PERUGIA";"06084";"075";"9869926";"STRUTTURA SEMIRESIDENZIALE                        ";"1";"      ";" ";"2008";"01";"    ";"  ";"12";"ASSISTENZA AGLI ANZIANI                           ";"0";"0";" "
"100";"2013";"201";"041301";"P.E. BETTONA";"054003";"VIA PERUGIA";"06084";"075";"9869719";"ALTRO TIPO DI STRUTTURA TERRITORIALE              ";"1";"      ";" ";"1997";"01";"    ";"  ";"12";"ATTIVITA` DI LABORATORIO                          ";"0";"0";" "
